text_file,company,disclosure_controls_effective,icfr_effective,material_weakness_count,material_weakness_summary,control_framework,auditor_opinion,auditor_name,notes
0001759824_000095017023007039.txt,"ALTA EQUIPMENT GROUP INC.  (ALTG, ALTG-PA)  (CIK 0001759824)",false,false,1,,COSO_2013,ADVERSE,Deloitte,
0001618181_000143774923032877.txt,World Gold Trust  (GLDM)  (CIK 0001618181),true,true,0,,COSO_2013,UNQUALIFIED,KPMG LLP,
0001819974_000181997425000010.txt,"SkyWater Technology, Inc  (SKYT)  (CIK 0001819974)",false,false,1,,COSO_2013,NOT_REQUIRED,,
0001541401_000154140125000003.txt,"Empire State Realty Trust, Inc.  (ESRT)  (CIK 0001541401)",true,true,0,,COSO_2013,UNQUALIFIED,Ernst & Young LLP,
0001865200_000141057825000747.txt,"Southport Acquisition Corp  (PORT, PORTU, PORTW)  (CIK 0001865200)",false,false,3,,COSO_2013,NOT_REQUIRED,,
0001158449_000115844924000048.txt,ADVANCE AUTO PARTS INC  (AAP)  (CIK 0001158449),false,false,1,,COSO_2013,ADVERSE,Deloitte & Touche LLP,
0001397047_000121390024028705.txt,"FlexShopper, Inc.  (FPAY)  (CIK 0001397047)",false,false,1,Tax provision review controls (third-party provider),COSO_2013,NOT_REQUIRED,,"Prior business-combination weakness remediated as of 12/31/23, not counted"
0001766363_000095017025028394.txt,"Endeavor Group Holdings, Inc.  (EDR)  (CIK 0001766363)",true,true,0,,COSO_2013,UNQUALIFIED,Deloitte & Touche LLP,
0000910267_000182912625001934.txt,TITAN PHARMACEUTICALS INC  (TTNP)  (CIK 0000910267),true,true,0,,COSO_2013,NOT_REQUIRED,,
0001083522_000143774923008382.txt,JONES SODA CO  (JSDA)  (CIK 0001083522),false,false,1,,COSO_2013,NOT_REQUIRED,,
0000758743_000119312523156706.txt,VIDEO DISPLAY CORP  (VIDE)  (CIK 0000758743),true,true,0,,COSO_2013,NOT_REQUIRED,,
0001613685_000149315223005567.txt,TRENDMAKER INC. LTD.  (CIK 0001613685),false,false,1,,COSO_2013,NOT_REQUIRED,,"Filing says 'weaknesses' plural then 'constitutes a material weakness' singular; counted 1. Also cites a separate control deficiency and late filings, neither counted."
0001624985_000168316823002473.txt,Tribal Rides International Corp.  (XNDA)  (CIK 0001624985),false,false,3,,COSO_2013,ABSENT,,
0001766368_000155837025002369.txt,"Mayville Engineering Company, Inc.  (MEC)  (CIK 0001766368)",false,false,1,,COSO_2013,CROSS_REFERENCED,Deloitte & Touche LLP,Attestation report referenced as 'follows below' but not inside Item 9A; opinion outcome not determinable from this section.
0001951051_000164033424001515.txt,JAAG Enterprises Ltd.  (JAGL)  (CIK 0001951051),false,false,1,,OTHER,NOT_REQUIRED,,COSO named without a year; no 2013 or 1992 anywhere in the section.
0000830616_000155837025000969.txt,"SCI Engineered Materials, Inc.  (SCIA)  (CIK 0000830616)",true,true,0,,COSO_2013,NOT_REQUIRED,,
0000002098_000156459023003422.txt,ACME UNITED CORP  (ACU)  (CIK 0000002098),true,true,0,,COSO_2013,UNQUALIFIED,Marcum LLP,
0001664740_000149315225009930.txt,MBC FUNDING II CORP.  (CIK 0001664740),true,true,0,,COSO_2013,NOT_REQUIRED,,
0001912954_000113902025000234.txt,WidFit Inc.  (CIK 0001912954),false,true,0,,COSO_2013,NOT_REQUIRED,,DCP not effective but ICFR effective with no weakness disclosed; sentence appears to be a garbled template.
0001049606_000155837025002264.txt,COMPX INTERNATIONAL INC  (CIX)  (CIK 0001049606),true,true,0,,COSO_2013,NOT_REQUIRED,,
0001298675_000129867524000011.txt,CubeSmart  (CUBE)  (CIK 0001298675),EFFECTIVE,NOT_STATED,0,,NOT_STATED,CROSS_REFERENCED,KPMG LLP,
0001023458_000102345825000009.txt,AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP  (XAEIU)  (CIK 0001023458),true,true,0,,COSO_2013,NOT_REQUIRED,,
0001279715_000121465925004885.txt,"Wright Investors Service Holdings, Inc.  (IWSH)  (CIK 0001279715)",true,true,0,,COSO_2013,NOT_REQUIRED,,
0001794515_000179451524000211.txt,ZoomInfo Technologies Inc.  (ZI)  (CIK 0001794515),true,true,0,,COSO_2013,CROSS_REFERENCED,KPMG LLP,
0001384905_000138490524000024.txt,"RingCentral, Inc.  (RNG)  (CIK 0001384905)",true,true,0,,COSO_2013,CROSS_REFERENCED,KPMG LLP,
0001702780_000162828024034231.txt,"Altice USA, Inc.  (ATUS)  (CIK 0001702780)",true,true,0,,COSO_2013,CROSS_REFERENCED,KPMG LLP,
0001477845_000110465923040275.txt,"Annovis Bio, Inc.  (ANVS)  (CIK 0001477845)",false,false,1,,COSO_2013,NOT_REQUIRED,,
0001753373_000175337323000006.txt,INKY INC.  (MTWO)  (CIK 0001753373),false,false,4,,COSO_2013,ABSENT,,
0001282631_000155837023002384.txt,NETLIST INC  (NLST)  (CIK 0001282631),false,false,1,,OTHER,CROSS_REFERENCED,KMJ Corbin & Company LLP,
0001973047_000197304724000012.txt,MARKY CORP.  (CIK 0001973047),NOT_STATED,NOT_EFFECTIVE,3,,COSO_2013,ABSENT,,
